ACTION START 1200 0 START
ACTION DOC 1200 315 EXAMINING_DOCUMENT 18562
ACTION SNIPPET 1200 315 SNIPPET_RELEVANT 902293
ACTION DOC 1200 335 EXAMINING_DOCUMENT 902293
ACTION SNIPPET 1200 335 SNIPPET_RELEVANT 323867
ACTION DOC 1200 355 EXAMINING_DOCUMENT 323867
ACTION SNIPPET 1200 355 SNIPPET_RELEVANT 140912
ACTION DOC 1200 375 EXAMINING_DOCUMENT 140912
ACTION SNIPPET 1200 375 SNIPPET_RELEVANT 230890
ACTION DOC 1200 395 EXAMINING_DOCUMENT 230890
ACTION SNIPPET 1200 395 SNIPPET_RELEVANT 1385984
ACTION DOC 1200 415 EXAMINING_DOCUMENT 1385984
ACTION QUERY 1200 425 transportation tunnel disasters
ACTION SERP 1200 430 EXAMINE_SERP
ACTION SNIPPET 1200 430 SEEN_PREVIOUSLY 1337126
ACTION SNIPPET 1200 430 SNIPPET_RELEVANT 521650
ACTION DOC 1200 450 EXAMINING_DOCUMENT 521650
ACTION MARK 1200 453 CONSIDERED_RELEVANT 521650
ACTION SNIPPET 1200 453 SNIPPET_RELEVANT 521934
ACTION DOC 1200 473 EXAMINING_DOCUMENT 521934
ACTION MARK 1200 476 CONSIDERED_RELEVANT 521934
ACTION SNIPPET 1200 476 SEEN_PREVIOUSLY 1338635
ACTION SNIPPET 1200 476 SNIPPET_RELEVANT 1341934
ACTION DOC 1200 496 EXAMINING_DOCUMENT 1341934
ACTION MARK 1200 499 CONSIDERED_RELEVANT 1341934
ACTION SNIPPET 1200 499 SNIPPET_RELEVANT 1527680
ACTION DOC 1200 519 EXAMINING_DOCUMENT 1527680
ACTION SNIPPET 1200 519 SNIPPET_RELEVANT 1095422
ACTION DOC 1200 539 EXAMINING_DOCUMENT 1095422
ACTION MARK 1200 542 CONSIDERED_RELEVANT 1095422
ACTION SNIPPET 1200 542 SNIPPET_RELEVANT 1337370
ACTION DOC 1200 562 EXAMINING_DOCUMENT 1337370
ACTION MARK 1200 565 CONSIDERED_RELEVANT 1337370
ACTION QUERY 1200 575 Tunnel collapse
ACTION SERP 1200 580 EXAMINE_SERP
ACTION SNIPPET 1200 580 SEEN_PREVIOUSLY 1801583
ACTION SNIPPET 1200 580 SEEN_PREVIOUSLY 405330
ACTION SNIPPET 1200 580 SEEN_PREVIOUSLY 1445528
ACTION SNIPPET 1200 580 SEEN_PREVIOUSLY 1543688
ACTION SNIPPET 1200 580 SEEN_PREVIOUSLY 1326070
ACTION SNIPPET 1200 580 SEEN_PREVIOUSLY 1328880
ACTION SNIPPET 1200 580 SNIPPET_RELEVANT 1635512
ACTION DOC 1200 600 EXAMINING_DOCUMENT 1635512
ACTION MARK 1200 603 CONSIDERED_RELEVANT 1635512
ACTION SNIPPET 1200 603 SNIPPET_RELEVANT 829592
ACTION DOC 1200 623 EXAMINING_DOCUMENT 829592
ACTION MARK 1200 626 CONSIDERED_RELEVANT 829592
ACTION SNIPPET 1200 626 SNIPPET_RELEVANT 1324676
ACTION DOC 1200 646 EXAMINING_DOCUMENT 1324676
ACTION MARK 1200 649 CONSIDERED_RELEVANT 1324676
ACTION SNIPPET 1200 649 SEEN_PREVIOUSLY 1337126
ACTION SNIPPET 1200 649 SNIPPET_RELEVANT 1594858
ACTION DOC 1200 669 EXAMINING_DOCUMENT 1594858
ACTION SNIPPET 1200 669 SNIPPET_RELEVANT 1253657
ACTION DOC 1200 689 EXAMINING_DOCUMENT 1253657
ACTION MARK 1200 692 CONSIDERED_RELEVANT 1253657
ACTION SNIPPET 1200 692 SNIPPET_RELEVANT 1734366
ACTION DOC 1200 712 EXAMINING_DOCUMENT 1734366
ACTION QUERY 1200 722 transportation tunnel accidents
ACTION SERP 1200 727 EXAMINE_SERP
ACTION SNIPPET 1200 727 SEEN_PREVIOUSLY 1378220
ACTION SNIPPET 1200 727 SEEN_PREVIOUSLY 1338635
ACTION SNIPPET 1200 727 SNIPPET_RELEVANT 655587
ACTION DOC 1200 747 EXAMINING_DOCUMENT 655587
ACTION MARK 1200 750 CONSIDERED_RELEVANT 655587
ACTION SNIPPET 1200 750 SEEN_PREVIOUSLY 1337126
ACTION SNIPPET 1200 750 SNIPPET_RELEVANT 1641795
ACTION DOC 1200 770 EXAMINING_DOCUMENT 1641795
ACTION MARK 1200 773 CONSIDERED_RELEVANT 1641795
ACTION SNIPPET 1200 773 SNIPPET_RELEVANT 1739723
ACTION DOC 1200 793 EXAMINING_DOCUMENT 1739723
ACTION MARK 1200 796 CONSIDERED_RELEVANT 1739723
ACTION SNIPPET 1200 796 SNIPPET_RELEVANT 1697049
ACTION DOC 1200 816 EXAMINING_DOCUMENT 1697049
ACTION MARK 1200 819 CONSIDERED_RELEVANT 1697049
ACTION SNIPPET 1200 819 SNIPPET_RELEVANT 314179
ACTION DOC 1200 839 EXAMINING_DOCUMENT 314179
ACTION SNIPPET 1200 839 SEEN_PREVIOUSLY 1095422
ACTION SNIPPET 1200 839 SNIPPET_RELEVANT 1361851
ACTION DOC 1200 859 EXAMINING_DOCUMENT 1361851
ACTION MARK 1200 862 CONSIDERED_RELEVANT 1361851
ACTION QUERY 1200 872 subway tunnel disasters
ACTION SERP 1200 877 EXAMINE_SERP
ACTION SNIPPET 1200 877 SNIPPET_RELEVANT 1689395
ACTION DOC 1200 897 EXAMINING_DOCUMENT 1689395
ACTION MARK 1200 900 CONSIDERED_RELEVANT 1689395
ACTION SNIPPET 1200 900 SNIPPET_RELEVANT 469895
ACTION DOC 1200 920 EXAMINING_DOCUMENT 469895
ACTION MARK 1200 923 CONSIDERED_RELEVANT 469895
ACTION SNIPPET 1200 923 SEEN_PREVIOUSLY 1527680
ACTION SNIPPET 1200 923 SNIPPET_RELEVANT 1413352
ACTION DOC 1200 943 EXAMINING_DOCUMENT 1413352
ACTION SNIPPET 1200 943 SNIPPET_RELEVANT 1337223
ACTION DOC 1200 963 EXAMINING_DOCUMENT 1337223
ACTION MARK 1200 966 CONSIDERED_RELEVANT 1337223
ACTION SNIPPET 1200 966 SEEN_PREVIOUSLY 1341934
ACTION SNIPPET 1200 966 SNIPPET_RELEVANT 1369065
ACTION DOC 1200 986 EXAMINING_DOCUMENT 1369065
ACTION MARK 1200 989 CONSIDERED_RELEVANT 1369065
ACTION SNIPPET 1200 989 SNIPPET_RELEVANT 1326510
ACTION DOC 1200 1009 EXAMINING_DOCUMENT 1326510
ACTION MARK 1200 1012 CONSIDERED_RELEVANT 1326510
ACTION QUERY 1200 1022 subway tunnel accidents
ACTION SERP 1200 1027 EXAMINE_SERP
ACTION SNIPPET 1200 1027 SNIPPET_RELEVANT 562667
ACTION DOC 1200 1047 EXAMINING_DOCUMENT 562667
ACTION MARK 1200 1050 CONSIDERED_RELEVANT 562667
ACTION SNIPPET 1200 1050 SNIPPET_RELEVANT 962934
ACTION DOC 1200 1070 EXAMINING_DOCUMENT 962934
ACTION MARK 1200 1073 CONSIDERED_RELEVANT 962934
ACTION SNIPPET 1200 1073 SNIPPET_RELEVANT 135177
ACTION DOC 1200 1093 EXAMINING_DOCUMENT 135177
ACTION MARK 1200 1096 CONSIDERED_RELEVANT 135177
ACTION SNIPPET 1200 1096 SNIPPET_RELEVANT 708080
ACTION DOC 1200 1116 EXAMINING_DOCUMENT 708080
ACTION MARK 1200 1119 CONSIDERED_RELEVANT 708080
ACTION SNIPPET 1200 1119 SNIPPET_RELEVANT 941564
ACTION DOC 1200 1139 EXAMINING_DOCUMENT 941564
ACTION MARK 1200 1142 CONSIDERED_RELEVANT 941564
ACTION QUERY 1200 1152 transportation tunnel failures
ACTION SERP 1200 1157 EXAMINE_SERP
ACTION SNIPPET 1200 1157 SEEN_PREVIOUSLY 1801583
ACTION SNIPPET 1200 1157 SNIPPET_RELEVANT 55293
ACTION DOC 1200 1177 EXAMINING_DOCUMENT 55293
ACTION MARK 1200 1180 CONSIDERED_RELEVANT 55293
ACTION SNIPPET 1200 1180 SNIPPET_RELEVANT 902017
ACTION DOC 1200 1200 EXAMINING_DOCUMENT 902017
INFO SUMMARY 
INFO TOTAL_QUERIES_ISSUED 9
INFO TOTAL_SNIPPETS_EXAMINED 64
INFO TOTAL_DOCUMENTS_EXAMINED 48
INFO TOTAL_DOCUMENTS_MARKED_RELEVANT 35
INFO TOTAL_ATTRACTIVE_SERP_IMPRESSIONS 9
INFO TOTAL_UNATTRACTIVE_SERP_IMPRESSIONS 0
